BBL,EUI_2013,floorArea_2013,EUI_2014,floorArea_2014,EUI_2015,floorArea_2015,EUI_2016,floorArea_2016,TYPE_2016,Borough,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,NumFloors,UnitsRes,UnitsTotal,YearBuilt,XCoord,YCoord,ZipCode,Address,Longitude,Latitude
1000210001,57.4,650000.0,65.9,650740.0,69.9,650740.0,67.4,650740.0,Office,MN,22197,650740,650740,0,633379,15361,33.0,0,99,1913,980691.0,196894.0,10006.0,61 BROADWAY,-74.0128367307,40.7071045507
1000210006,60.6,317135.0,64.7,303086.0,66.4,303086.0,62.9,303086.0,Multifamily Housing,MN,13967,303086,16658,286428,0,16658,23.0,237,245,1900,980781.0,197035.0,10006.0,69 BROADWAY,-74.0125121881,40.7074915981
4092310091,71.3,103638.0,72.9,107700.0,80.4,107700.0,62.7,107700.0,Multifamily Housing,QN,28800,107700,0,107700,0,0,6.0,90,90,1937,1031018.0,196333.0,11415.0,83-15 LEFFERTS BOULEVARD,-73.8313195792,40.7054418595
1000220024,55.6,343345.0,99.2,300676.0,73.1,300676.0,69.9,300676.0,Office,MN,13323,300676,300676,0,279778,20398,38.0,0,1,1927,980801.0,196576.0,10004.0,50 BROADWAY,-74.0124398158,40.7062317593
1000220028,71.5,384831.0,140.9,720400.0,78.0,345540.0,80.5,345540.0,Office,MN,18640,345540,345540,0,278310,5300,19.0,0,5,1897,980847.0,196668.0,10004.0,52 BROADWAY,-74.01227395,40.7064842954
1000230019,268.3,370000.0,198.6,240279.0,180.7,240279.0,320.1,240279.0,Financial Office,MN,31350,240279,240279,0,240279,0,23.0,0,1,1904,981147.0,196867.0,10005.0,2 BROAD STREET,-74.0111920009,40.7070306137
1000230050,104.9,473042.0,106.1,466820.0,105.6,466820.0,76.8,466820.0,Office,MN,19975,466820,466820,0,466820,0,27.0,0,1,1956,981072.0,196715.0,10005.0,20 BROAD STREET,-74.0114624416,40.706613383
1000240001,82.8,1067151.0,101.6,974958.0,101.1,974958.0,93.8,974958.0,Office,MN,44757,974958,974958,0,957364,17594,38.0,0,0,1961,980923.0,196241.0,10004.0,60 BROAD STREET,-74.0119996221,40.70531231
1000240036,107.1,225847.0,39.3,205940.0,39.9,205940.0,46.9,205940.0,Office,MN,13971,205940,205940,0,195940,10000,20.0,0,63,1913,980961.0,196392.0,10004.0,50 BROAD STREET,-74.0118626397,40.7057267836
1000247501,63.5,242953.0,116.2,319910.0,125.6,319910.0,123.2,319910.0,Multifamily Housing,MN,16100,238204,83720,154484,39762,43958,31.0,156,165,1982,980982.0,196499.0,10004.0,40 BROAD STREET,-74.0117869496,40.7060204812
1000250001,98.8,410295.0,103.2,406025.0,106.6,406025.0,96.3,406025.0,Office,MN,23132,406025,406025,0,397073,8952,31.0,0,6,1968,981187.0,196228.0,10004.0,55 BROAD STREET,-74.0110474369,40.7052767234
1000257501,58.3,465097.0,112.4,530168.0,122.5,530168.0,114.0,530168.0,Multifamily Housing,MN,23649,377483,52421,325062,0,6092,44.0,320,321,2005,981378.0,196261.0,10004.0,15 WILLIAM STREET,-74.0103585642,40.7053673647
1000260014,191.8,383214.0,93.5,377214.0,76.5,377214.0,76.9,377214.0,Multifamily Housing,MN,18016,377214,6000,371214,0,6000,26.0,372,374,1904,981414.0,196602.0,10005.0,37 WALL STREET,-74.0102288651,40.7063033409
1000267501,30.1,810962.0,31.0,944252.0,62.6,944252.0,58.3,944252.0,Multifamily Housing,MN,39846,810798,252916,557882,0,12030,42.0,382,400,1914,981314.0,196685.0,10005.0,15 BROAD STREET,-74.0105895805,40.7065311237
1000267501,30.1,810962.0,31.0,944252.0,62.6,944252.0,58.3,944252.0,Multifamily Housing,MN,39846,810798,252916,557882,0,12030,42.0,382,400,1914,981314.0,196685.0,10005.0,15 BROAD STREET,-74.0105895805,40.7065311237
1005690001,96.1,64220.0,114.1,64218.0,90.9,64218.0,80.1,64218.0,Multifamily Housing,MN,7579,64218,0,64218,0,0,11.0,42,42,1905,985753.0,206694.0,10003.0,43 5 AVENUE,-73.9945767365,40.7340037758
1000277501,181.4,290987.0,199.5,274516.0,117.7,274516.0,288.2,274516.0,Multifamily Housing,MN,31469,188278,81145,107133,0,81145,9.0,107,108,1836,981660.0,196466.0,10005.0,55 WALL STREET,-74.0093415417,40.7059301284
1000277502,27.7,826289.0,50.9,786942.0,52.0,786942.0,52.0,786942.0,Multifamily Housing,MN,24524,724299,289022,435277,252136,36886,57.0,350,352,1929,981597.0,196295.0,10004.0,20 EXCHANGE PLACE,-74.009568701,40.705460755
1000280001,95.6,239121.0,118.5,239121.0,99.6,239121.0,109.1,239121.0,Multifamily Housing,MN,11934,239121,11000,228121,0,11000,23.0,202,211,1926,981582.0,196128.0,10004.0,3 HANOVER SQUARE,-74.009622736,40.7050023749
1000287501,65.6,105015.0,73.0,108373.0,79.5,108373.0,72.4,108373.0,Multifamily Housing,MN,7120,93544,11471,82073,0,11471,15.0,126,128,1987,981884.0,196205.0,10005.0,82 BEAVER STREET,-74.0085335329,40.7052138076
1000287501,65.6,105015.0,73.0,108373.0,79.5,108373.0,72.4,108373.0,Multifamily Housing,MN,7120,93544,11471,82073,0,11471,15.0,126,128,1987,981884.0,196205.0,10005.0,82 BEAVER STREET,-74.0085335329,40.7052138076
1000290001,41.3,1265518.0,48.6,993569.0,57.2,993569.0,66.9,993569.0,Office,MN,42762,993569,993569,0,993569,0,30.0,0,1,1983,981185.0,195760.0,10004.0,85 BROAD STREET,-74.0110544374,40.7039921728
1000290070,219.1,671172.0,200.4,661283.0,197.4,661283.0,185.1,661283.0,Office,MN,26068,661283,661283,0,646657,14626,35.0,0,1,1928,981134.0,196012.0,10004.0,75 BROAD STREET,-74.0112384941,40.7046838357
1000297501,57.5,66346.0,103.0,65396.0,79.2,65396.0,91.9,65396.0,Multifamily Housing,MN,9150,61238,16522,44716,0,16522,8.0,39,42,1920,981364.0,196111.0,10004.0,48 BEAVER STREET,-74.0104089943,40.7049556454
1000317501,53.7,545969.0,55.7,679316.0,93.7,679316.0,152.0,683289.0,Multifamily Housing,MN,30794,542247,30995,316775,0,3370,36.0,346,349,1987,981999.0,196142.0,10005.0,75 WALL STREET,-74.0081187374,40.7050409175
1000317501,53.7,545969.0,55.7,679316.0,93.7,679316.0,152.0,683289.0,Multifamily Housing,MN,30794,542247,30995,316775,0,3370,36.0,346,349,1987,981999.0,196142.0,10005.0,75 WALL STREET,-74.0081187374,40.7050409175
1000327501,161.3,3636683.0,119.9,3678000.0,113.5,3678000.0,114.1,3678000.0,Office,MN,160692,3583167,3583167,0,3583167,0,53.0,0,52,1973,981712.0,195465.0,10004.0,55 WATER STREET,-74.0091536122,40.703182634
1000330001,74.1,662800.0,90.1,541568.0,89.2,541568.0,85.1,541568.0,Office,MN,25779,541568,541568,0,541268,300,26.0,0,12,1969,981977.0,195845.0,10005.0,77 WATER STREET,-74.0081979851,40.7042257167
1000330011,70.6,460375.0,0.4,473460.0,55.7,473460.0,71.6,473460.0,Multifamily Housing,MN,22957,473460,29960,443500,0,12500,22.0,507,510,1969,982148.0,196009.0,10005.0,95 WALL STREET,-74.0075812939,40.7046759004
1000350010,77.4,819529.0,40.4,990205.0,66.1,990250.0,69.2,990250.0,Office,MN,48741,990250,990250,0,982128,8122,24.0,0,2,1968,982310.0,195859.0,10005.0,111 WALL STREET,-74.0069969645,40.7042642227
1000370008,95.8,292627.0,29.4,295376.0,33.2,295376.0,52.1,260017.0,Multifamily Housing,MN,17017,260017,126999,133018,0,0,27.0,205,212,1965,982488.0,196094.0,10005.0,110 WALL STREET,-74.0063550364,40.7049092797
1022410014,119.6,52928.0,100.4,50583.0,63.0,50583.0,82.5,50583.0,Multifamily Housing,MN,10000,50583,4000,46583,0,4000,6.0,44,52,1936,1005851.0,255598.0,10034.0,77 COOPER STREET,-73.9218999676,40.8682055454
1000397501,71.1,97677.0,88.2,117641.0,74.5,117641.0,120.5,117641.0,Multifamily Housing,MN,10576,90163,8173,81990,0,8173,12.0,121,122,1956,982241.0,196409.0,10005.0,164 PEARL STREET,-74.0072459897,40.7057738278
1000400014,60.2,313918.0,63.2,281755.0,67.3,281755.0,68.1,281755.0,Office,MN,12175,281755,281755,0,259055,21200,32.0,0,28,1928,981721.0,196665.0,10005.0,48 WALL STREET,-74.0091216033,40.7064763541
1000400016,33008.2,100000.0,45153.2,119467.0,49216.4,119467.0,53102.7,119467.0,Hotel,MN,6497,119467,2000,0,0,2000,20.0,0,2,1902,981778.0,196750.0,10005.0,52 WILLIAM STREET,-74.0089160467,40.7067096751
1000420001,9.6,279600.0,75.8,290116.0,89.3,290116.0,88.4,290116.0,Multifamily Housing,MN,17684,290116,22564,267552,0,9564,24.0,340,346,1930,982248.0,196753.0,10005.0,100 MAIDEN LANE,-74.0072208446,40.7067180283
1000420022,103.8,337000.0,113.5,387000.0,122.8,387000.0,108.7,387000.0,Multifamily Housing,MN,18833,387000,2198,384802,0,2198,45.0,287,289,2002,981978.0,196988.0,10005.0,10 LIBERTY STREET,-74.008194764,40.7073629825
1000430001,70.6,341291.0,92.3,289049.0,97.9,289049.0,88.1,289049.0,Office,MN,14213,289049,289049,0,279635,9414,23.0,0,0,1927,981648.0,196777.0,10005.0,44 WALL STREET,-74.0093849431,40.7067837465
1000430002,58.7,1155995.0,63.0,1061266.0,63.0,1061266.0,66.4,1061286.0,Office,MN,34360,1061286,1061286,0,1041265,20021,63.0,0,1,1931,981555.0,196847.0,10005.0,40 WALL STREET,-74.0097204053,40.7069758521
1000430005,75.2,138880.0,77.7,108663.0,91.4,108663.0,93.0,108663.0,Office,MN,11400,108663,108663,0,108663,0,12.0,0,0,1954,981450.0,196891.0,10005.0,30 WALL STREET,-74.0100991407,40.7070965891
1000447501,33.9,616399.0,36.8,583639.0,39.0,583639.0,22813.3,583639.0,Multifamily Housing,MN,22742,461169,32760,428409,0,32760,38.0,408,412,1928,981551.0,197121.0,10005.0,18 PINE STREET,-74.0097349424,40.7077279162
1000447501,33.9,616399.0,36.8,583639.0,39.0,583639.0,22813.3,583639.0,Multifamily Housing,MN,22742,461169,32760,428409,0,32760,38.0,408,412,1928,981551.0,197121.0,10005.0,18 PINE STREET,-74.0097349424,40.7077279162
1000460003,45.5,395000.0,73.7,364390.0,82.1,364390.0,58.9,364390.0,Office,MN,14950,364390,364390,0,333178,31212,24.0,0,1,1922,981167.0,197208.0,10005.0,100 BROADWAY,-74.0111200204,40.7079665851
1000477501,68.4,1885544.0,74.1,1736513.0,66.2,1736513.0,67.1,1736513.0,Office,MN,49614,1736513,1736513,0,1491815,0,41.0,0,2,1915,981333.0,197300.0,10005.0,120 BROADWAY,-74.0105213177,40.7082191596
1000480001,137.4,1170129.0,134.8,1141266.0,132.9,1141266.0,134.2,1141266.0,Office,MN,52636,1141276,1141276,0,1141266,0,50.0,0,78,1967,981445.0,197457.0,10005.0,140 BROADWAY,-74.0101174107,40.7086501237
1000490002,43.7,475387.0,45.7,432093.0,46.2,432093.0,45.9,432093.0,Office,MN,18615,432093,432093,0,423593,8500,25.0,0,32,1907,981023.0,197480.0,10006.0,111 BROADWAY,-74.0116395419,40.7087131094
1000500001,37.0,419806.0,63.0,396607.0,53.4,396607.0,123.0,396607.0,Office,MN,16620,396607,396607,0,374003,22604,21.0,0,33,1907,981070.0,197561.0,10006.0,115 BROADWAY,-74.0114700548,40.7089354522
1000510001,55.9,491400.0,62.0,400294.0,60.2,400294.0,56.9,400294.0,Office,MN,17626,400294,400294,0,390294,10000,27.0,0,10,1907,980599.0,197252.0,10006.0,2 RECTOR STREET,-74.0131687538,40.7080871386
1015820030,55.8,100310.0,67.3,94409.0,35.3,94409.0,56.9,94409.0,Multifamily Housing,MN,8771,94409,0,94409,0,0,16.0,46,46,1929,999415.0,221577.0,10028.0,130 EAST END AVENUE,-73.9452466855,40.7748409476
1010290037,69.0,76883.0,77.4,76883.0,76.2,76883.0,67.5,76883.0,K-12 School,MN,7532,76883,76883,0,76883,0,16.0,0,0,1986,989718.0,218445.0,10019.0,202 WEST 58 STREET,-73.9802603024,40.7662557415
1000550014,60.0,250471.0,51.9,258071.0,74.5,258071.0,70.2,258071.0,Multifamily Housing,MN,22437,258071,7600,250471,0,0,18.0,206,207,1926,980231.0,197593.0,10006.0,71 WEST STREET,-74.0144962927,40.7090229433
1000627501,112.5,2346193.0,123.9,2139035.0,107.6,2139035.0,104.7,2139035.0,Office,MN,95348,1690747,1690747,0,1690747,0,54.0,0,17,1973,981129.0,197663.0,10006.0,1 LIBERTY PLAZA,-74.0112572929,40.7092154391
1000640008,32.2,167428.0,91.8,167448.0,98.0,167448.0,93.6,167448.0,Multifamily Housing,MN,5198,167448,7056,160392,0,7056,33.0,87,92,1911,981649.0,197527.0,10005.0,53 LIBERTY STREET,-74.009381626,40.7088423194
1000640012,51.4,276000.0,65.1,279669.0,63.8,279669.0,67.0,279669.0,Office,MN,13133,279669,279669,0,252669,27000,23.0,0,55,1924,981457.0,197650.0,10038.0,150 BROADWAY,-74.0100742077,40.7091798668
3087207512,72.8,157178.0,90.0,157178.0,87.5,157178.0,82.0,177808.0,Multifamily Housing,BK,83188,157188,5670,151518,0,153,8.0,112,112,2002,996055.0,149253.0,11235.0,105 OCEANA DRIVE EAST,-73.9575046595,40.5763331124
1013710038,62.8,538724.0,18.4,537750.0,17.3,537750.0,31.7,537750.0,Multifamily Housing,MN,40400,537750,11000,526750,1000,0,20.0,320,322,1959,995087.0,214766.0,10022.0,25 SUTTON PLACE SOUTH,-73.9608839314,40.756152881
1000650010,176.0,63146.0,187.6,58354.0,207.1,58354.0,123.8,58354.0,Multifamily Housing,MN,4792,58354,6856,51498,0,6856,15.0,66,68,1900,981682.0,197824.0,10038.0,9 MAIDEN LANE,-74.0092627106,40.7096575237
1004737502,91.5,55693.0,96.5,78982.0,98.6,78982.0,95.4,78982.0,Multifamily Housing,MN,11700,55693,0,55693,0,0,7.0,13,13,1890,984324.0,201946.0,10013.0,30 CROSBY STREET,-73.9997330386,40.7209718002
1000670001,53427.9,1200000.0,56494.9,1073000.0,58195.8,1073000.0,95.5,1073000.0,Office,MN,59391,1073000,1073000,0,1049755,23245,44.0,0,57,1965,982037.0,197460.0,10038.0,59 MAIDEN LANE,-74.007982115,40.7086585259
1019457504,82.8,198000.0,94.1,180000.0,124.3,180000.0,101.0,180000.0,Multifamily Housing,MN,20183,153526,44554,108972,11663,0,12.0,91,93,2006,996846.0,232988.0,10026.0,2187 8 AVENUE,-73.9545006724,40.806165103
1019457504,82.8,198000.0,18.7,180000.0,124.3,180000.0,101.0,180000.0,Multifamily Housing,MN,20183,153526,44554,108972,11663,0,12.0,91,93,2006,996846.0,232988.0,10026.0,2187 8 AVENUE,-73.9545006724,40.806165103
1019457504,90.4,180800.0,94.1,180000.0,124.3,180000.0,101.0,180000.0,Multifamily Housing,MN,20183,153526,44554,108972,11663,0,12.0,91,93,2006,996846.0,232988.0,10026.0,2187 8 AVENUE,-73.9545006724,40.806165103
1019457504,90.4,180800.0,18.7,180000.0,124.3,180000.0,101.0,180000.0,Multifamily Housing,MN,20183,153526,44554,108972,11663,0,12.0,91,93,2006,996846.0,232988.0,10026.0,2187 8 AVENUE,-73.9545006724,40.806165103
1000680028,84.2,71539.0,93.0,71539.0,108.4,71539.0,107.7,71539.0,Hotel,MN,4636,71539,2160,0,0,2160,18.0,0,2,1998,982277.0,197179.0,10038.0,15 GOLD STREET,-74.0071163718,40.7078873041
1000687502,47.4,121472.0,81.1,126430.0,32936.9,126430.0,32936.5,126430.0,Multifamily Housing,MN,9642,126291,9398,112074,0,9398,17.0,113,116,1967,982178.0,197248.0,10038.0,90 WILLIAM STREET,-74.007473474,40.7080766702
1000690006,54.3,240421.0,46.3,222000.0,46.3,222000.0,49.9,222000.0,Multifamily Housing,MN,16642,222000,23500,198500,15000,8500,28.0,189,194,2007,982378.0,196886.0,10038.0,211 PEARL STREET,-74.0067519955,40.7070831103
1022500084,15.7,78100.0,94.8,78130.0,95.4,78130.0,94.1,78130.0,Multifamily Housing,MN,10000,78130,0,78130,0,0,10.0,76,76,1966,1006750.0,256973.0,10034.0,244 SEAMAN AVENUE,-73.9186449504,40.8719772528
1000690032,16.8,342310.0,51.6,338463.0,59.9,338463.0,62.5,338463.0,Office,MN,11550,338463,7905,330558,0,7905,35.0,416,418,1931,982616.0,197026.0,10038.0,116 JOHN STREET,-74.0058936027,40.7074674244
1000697502,55.4,410482.0,65.1,372364.0,65.1,372364.0,31.5,372364.0,Multifamily Housing,MN,14851,344914,130550,214364,97912,32638,29.0,221,222,1931,982448.0,197187.0,10038.0,90 JOHN STREET,-74.0064995976,40.7079092987
1000697502,55.4,410482.0,44.4,372364.0,65.1,372364.0,31.5,372364.0,Multifamily Housing,MN,14851,344914,130550,214364,97912,32638,29.0,221,222,1931,982448.0,197187.0,10038.0,90 JOHN STREET,-74.0064995976,40.7079092987
1000697502,66.2,377672.0,65.1,372364.0,65.1,372364.0,31.5,372364.0,Multifamily Housing,MN,14851,344914,130550,214364,97912,32638,29.0,221,222,1931,982448.0,197187.0,10038.0,90 JOHN STREET,-74.0064995976,40.7079092987
1000697502,66.2,377672.0,44.4,372364.0,65.1,372364.0,31.5,372364.0,Multifamily Housing,MN,14851,344914,130550,214364,97912,32638,29.0,221,222,1931,982448.0,197187.0,10038.0,90 JOHN STREET,-74.0064995976,40.7079092987
1000710001,78.0,59340.0,111.1,52969.0,93.6,52969.0,95.8,52969.0,Multifamily Housing,MN,9026,52969,2014,50955,0,2014,9.0,63,66,1930,982705.0,196519.0,10038.0,156 FRONT STREET,-74.0055724762,40.7060758451
1000717501,112.0,510858.0,86.0,580000.0,87.0,580000.0,92.3,580000.0,Office,MN,24121,462377,462377,0,455733,6644,30.0,0,30,1983,982828.0,196623.0,10038.0,175 WATER STREET,-74.0051288642,40.7063613212
1000747501,70.5,988890.0,60.9,985010.0,65.1,995083.0,79.2,995083.0,Office,MN,41656,744146,744146,0,697701,46445,35.0,0,36,1993,983038.0,196805.0,10038.0,199 WATER STREET,-74.0043714697,40.7068608995
1000750001,72.9,541000.0,63.9,541000.0,73.3,541000.0,102.0,541000.0,Multifamily Housing,MN,33294,541000,12000,529000,0,12000,31.0,576,579,1973,982937.0,197005.0,10038.0,127 JOHN STREET,-74.0047357979,40.7074098378
