,BBL,Longitude,Latitude,age,BldgArea,UnitsTotal,EER_km,WER_km,NER_km,EUI_2016_x,Group_mean_EUI_2016,Group_mean_water_intensity,Group_mean_naturalgas_intensity,Pred_EUI_lr,EER_lr,Pred_WUI_lr,WER_lr,Pred_NUI_lr,NER_lr,EUI_2016_y,avgEER,avgWER,avgNER
32,3076540014,-73.9394832779,40.6210377972,78,94128,72,0.81110874909,0.565006668057,0.993416133612,68.7,84.6988767869,67.4859292035,49.170764382,84.3795275021,0.814178533985,62.9727469884,0.605500026972,63.4820570317,0.769462001125,68.7,0.812643641538,0.585253347515,0.881439067368
33,3053070070,-73.9824799797,40.6446356103,86,98604,75,0.774508499859,0.579824571756,1.11856526103,65.6,84.6988767869,67.4859292035,49.170764382,95.1242816263,0.689624130437,51.9084992265,0.753826455842,55.6156622161,0.988942803242,65.6,0.732066315148,0.666825513799,1.05375403214
34,1009300012,-73.9791571339,40.7383798985,42,265541,236,1.16322869569,0.856462892083,1.74265258593,103.6,89.0624521073,50.5918007663,48.4111372627,112.250102513,0.922939023491,48.4893490886,0.89359830178,46.2570328201,1.82380469294,103.6,1.04308385959,0.875030596932,1.78322863943
35,1001610001,-73.9998773555,40.7136515252,52,306862,253,0.955509285748,0.0703671335291,0.06103223427,85.1,89.0624521073,50.5918007663,48.4111372627,102.732351407,0.828366126486,38.8953470264,0.0915276574749,45.8834928713,0.0643943973267,85.1,0.891937706117,0.080947395502,0.0627133157983
36,1001700001,-74.0040762916,40.7163687665,18,139697,151,0.842986385517,0.436831801057,0.760436615193,71.4,84.6988767869,67.4859292035,49.170764382,131.771656155,0.541846418899,49.1022077382,0.600380336403,48.0409119652,0.778320979006,71.4,0.692416402208,0.51860606873,0.7693787971
37,1001700020,-74.0034918865,40.716055883,16,419639,339,1.63256228141,1.1395127101,1.22938023195,145.4,89.0624521073,50.5918007663,48.4111372627,100.581260746,1.44559731028,30.5937690639,1.88437063376,45.5880422384,1.30551109972,145.4,1.53907979585,1.51194167193,1.26744566584
38,1001737502,-74.0056888301,40.7170548882,97,99735,32,1.19718234582,0.602644143453,0.949436103117,101.4,84.6988767869,67.4859292035,49.170764382,102.866627078,0.985742440288,38.3521411587,1.06043623045,42.1354662568,1.10796208205,101.4,1.09146239305,0.831540186951,1.02869909258
39,1001790032,-74.0074385298,40.7181554372,9,52930,17,1.19127907981,0.70681400646,0.819144850977,100.9,84.6988767869,67.4859292035,49.170764382,129.858694021,0.776998419404,39.6992399331,1.2015343387,45.4291551117,0.886610775901,100.9,0.984138749609,0.954174172581,0.852877813439
40,1018897501,-73.9715862001,40.7981724482,89,166832,107,0.654081873357,0.663249369583,0.0420583406746,55.4,84.6988767869,67.4859292035,49.170764382,111.791840557,0.495563895575,47.8382801632,0.935652365581,36.8252093687,0.0561582892552,55.4,0.574822884466,0.799450867582,0.0491083149649
41,1001797506,-74.0079977177,40.7184518338,102,77625,30,0.793398951075,0.483360018673,0.60127250721,67.2,84.6988767869,67.4859292035,49.170764382,107.500133505,0.625115502734,41.8123671922,0.780151954804,42.2998410789,0.69893947654,67.2,0.709257226905,0.631755986739,0.650105991875
